stock_no,category,colour,shape,carat,carat_band,clarity,cut,polish,symmetry,measurements,depth_pct,table_pct,ratio,lab,cert_no,verify_url,video_url
PDKP-1175A,Fancy Colour,VIVID YELLOW,CUSHION,4.58,3.00–4.99ct,VS2,,EX,EX,10.28 - 8.06 * 5.59,69.4,64.0,1.28,IGI,675531973,https://api.igi.org/viewpdf.php?r=675531973,https://workshop.360view.link/360viewer/360view.html?d=2701251-675531973
PDKP-1981,Fancy Colour,VIVID YELLOW,CUSHION,4.51,3.00–4.99ct,VS1,,EX,EX,8.98 - 8.52 * 5.92,69.5,61.0,1.05,IGI,743511173,https://api.igi.org/viewpdf.php?r=743511173,https://workshop.360view.link/360viewer/360view.html?d=0811258-1001-27
PDJP-1200,Fancy Colour,INTENSE YELLOW,CUSHION,4.11,3.00–4.99ct,VS2,,EX,EX,10.29 - 8.10 * 5.33,65.8,61.0,1.27,IGI,745520057,https://api.igi.org/viewpdf.php?r=745520057,https://workshop.360view.link/360viewer/360view.html?d=1610250-JP-1200
PDKP-1973,Fancy Colour,VIVID YELLOW,CUSHION,4.06,3.00–4.99ct,VS1,,EX,EX,8.58 - 8.45 * 5.63,66.6,66.0,1.02,IGI,694562658,https://api.igi.org/viewpdf.php?r=694562658,https://workshop.360view.link/360viewer/360view.html?d=2204254-694562658
PDKP-1305,Fancy Colour,VIVID YELLOW,CUSHION,4.03,3.00–4.99ct,VS1,,EX,EX,9.85 - 7.82 * 5.49,70.2,55.0,1.26,IGI,694562651,https://api.igi.org/viewpdf.php?r=694562651,https://workshop.360view.link/360viewer/360view.html?d=1806257-600-16
PDKP-1321,Fancy Colour,VIVID YELLOW,CUSHION,4.03,3.00–4.99ct,VS1,,EX,EX,9.68 - 7.93 * 5.39,68.0,59.0,1.22,IGI,696505246,https://api.igi.org/viewpdf.php?r=696505246,https://workshop.360view.link/360viewer/360view.html?d=2504255-696505246
PDJP-150,Fancy Colour,FANCY YELLOW,EMERALD,2.92,2.00–2.99ct,VVS2,,EX,EX,10.36 - 6.61 * 4.05,61.3,68.0,1.57,IGI,742524687,https://api.igi.org/viewpdf.php?r=742524687,https://workshop.360view.link/360viewer/360view.html?d=2007268-JP-1500
PDJP-1300-3,Fancy Colour,LIGHT YELLOW,EMERALD,0.99,Under 1ct,VS1,,EX,EX,6.81 - 4.82 * 3.19,66.2,70.0,1.41,IGI,746509885,https://api.igi.org/viewpdf.php?r=746509885,https://workshop.360view.link/360viewer/360view.html?d=1610257-JP-1300-3
PDKP-1502,Fancy Colour,INTENSE YELLOW,HEART,6.1,5.00–9.99ct,VS1,,EX,EX,10.81 - 11.45 * 6.40,55.9,66.0,0.94,IGI,726563146,https://api.igi.org/viewpdf.php?r=726563146,https://workshop.360view.link/360viewer/360view.html?d=1308253-jy-9-sn
PDKP-1504,Fancy Colour,INTENSE YELLOW,HEART,6.05,5.00–9.99ct,VVS2,,EX,EX,10.65 - 11.27 * 6.27,55.6,61.0,0.94,IGI,729505743,https://api.igi.org/viewpdf.php?r=729505743,https://workshop.360view.link/360viewer/360view.html?d=0409251-JY-20-SN
PDKP-1182A,Fancy Colour,VIVID YELLOW,HEART,4.14,3.00–4.99ct,VS2,,EX,EX,9.40 - 10.46 * 5.47,52.3,65.0,0.9,IGI,680502272,https://api.igi.org/viewpdf.php?r=680502272,https://workshop.360view.link/360viewer/360view.html?d=1702250-680502272
