stock_no,category,colour,shape,carat,carat_band,clarity,cut,polish,symmetry,measurements,depth_pct,table_pct,ratio,lab,cert_no,verify_url,video_url
PDKP-3069,Fancy Colour,VIVID PINK,PEAR,4.31,3.00–4.99ct,VS1,,EX,EX,14.10 -  8.85 * 5.10,57.6,62.0,1.59,IGI,817696627,https://api.igi.org/viewpdf.php?r=817696627,
PDKP-1329,Fancy Colour,VIVID PINK,PEAR,4.25,3.00–4.99ct,VVS2,,EX,EX,14.76 - 8.66 * 5.12,59.1,63.0,1.7,IGI,713537373,https://api.igi.org/viewpdf.php?r=713537373,https://workshop.360view.link/360viewer/360view.html?d=1907253-PDKP-1329
PDKP-3024,Fancy Colour,VIVID PINK,PEAR,4.23,3.00–4.99ct,VVS2,,EX,EX,14.02 - 8.85 * 5.03,56.8,66.0,1.58,IGI,815647664,https://api.igi.org/viewpdf.php?r=815647664,https://workshop.360view.link/360viewer/360view.html?d=0907266-PDKP-3024
PDKP-1327,Fancy Colour,VIVID PINK,PEAR,4.21,3.00–4.99ct,VVS2,,EX,EX,14.68 - 8.57 * 5.03,58.7,64.0,1.71,IGI,713537376,https://api.igi.org/viewpdf.php?r=713537376,https://workshop.360view.link/360viewer/360view.html?d=1907251-PDKP-1327
PDJP-420,Fancy Colour,VIVID PINK,PEAR,4.19,3.00–4.99ct,VS1,,EX,EX,14.77 - 8.50 * 4.98,58.6,61.0,1.74,IGI,745520054,https://api.igi.org/viewpdf.php?r=745520054,https://workshop.360view.link/360viewer/360view.html?d=1310250-jp-420-pr
PDKP-3025,Fancy Colour,VIVID PINK,PEAR,4.19,3.00–4.99ct,VS1,,EX,EX,14.01 - 8.78 * 5.03,57.3,65.0,1.6,IGI,815647675,https://api.igi.org/viewpdf.php?r=815647675,https://workshop.360view.link/360viewer/360view.html?d=0907261-PDKP-3025
PDKP-1256,Fancy Colour,VIVID PINK,PEAR,4.1,3.00–4.99ct,VS1,,EX,EX,14.52 - 8.53 * 5.065,59.2,62.0,1.7,IGI,712534972,https://api.igi.org/viewpdf.php?r=712534972,https://workshop.360view.link/360viewer/360view.html?d=2006256-PDKP-1256
PDKP-1332,Fancy Colour,VIVID PINK,PEAR,4.01,3.00–4.99ct,VS1,,EX,EX,14.07 - 8.50 * 5.04,59.3,61.0,1.66,IGI,713537367,https://api.igi.org/viewpdf.php?r=713537367,https://workshop.360view.link/360viewer/360view.html?d=1907253-PDKP-1332
PDKP-3020,Fancy Colour,VIVID PINK,PEAR,4.01,3.00–4.99ct,VVS2,,EX,EX,13.76 - 8.61 * 5.05,58.7,68.0,1.6,IGI,815647670,https://api.igi.org/viewpdf.php?r=815647670,https://workshop.360view.link/360viewer/360view.html?d=0907265-PDKP-3020
PDPV-143,Fancy Colour,VIVID PINK,PEAR,4.01,3.00–4.99ct,VS1,,EX,EX,13.75 - 8.58 * 5.06,59.0,64.0,1.6,IGI,726546685,https://api.igi.org/viewpdf.php?r=726546685,https://workshop.360view.link/360viewer/360view.html?d=2608256-PV-143-PR
PDKP-1262,Fancy Colour,VIVID PINK,PEAR,3.94,3.00–4.99ct,VS1,,EX,EX,14.64 - 8.37 * 4.94,59.0,63.0,1.75,IGI,712535049,https://api.igi.org/viewpdf.php?r=712535049,https://workshop.360view.link/360viewer/360view.html?d=3006257-PDKP-1262
PDKP-1341,Fancy Colour,VIVID PINK,PEAR,3.93,3.00–4.99ct,VVS2,,EX,EX,14.36 - 8.53 * 4.93,57.8,65.0,1.68,IGI,723511715,https://api.igi.org/viewpdf.php?r=723511715,https://workshop.360view.link/360viewer/360view.html?d=2807252-PDKP-1341
PDKP-1264,Fancy Colour,VIVID PINK,PEAR,3.92,3.00–4.99ct,VS1,,EX,EX,14.06 - 8.32 * 5.11,61.4,61.0,1.69,IGI,713536772,https://api.igi.org/viewpdf.php?r=713536772,https://workshop.360view.link/360viewer/360view.html?d=0107253-pdkp-1264
PDKP-1344,Fancy Colour,VIVID PINK,PEAR,3.92,3.00–4.99ct,VVS2,,EX,EX,14.50 - 8.15 * 4.84,59.4,60.0,1.78,IGI,713537480,https://api.igi.org/viewpdf.php?r=713537480,https://workshop.360view.link/360viewer/360view.html?d=2307252-PDKP-1344
PDKP-1254,Fancy Colour,VIVID PINK,PEAR,3.91,3.00–4.99ct,VS1,,EX,EX,14.70 - 8.31 * 4.86,58.5,65.0,1.77,IGI,712535005,https://api.igi.org/viewpdf.php?r=712535005,https://workshop.360view.link/360viewer/360view.html?d=2706253-PDKP-1254
PDKP-1362-A,Fancy Colour,VIVID PINK,PEAR,3.9,3.00–4.99ct,VVS2,,EX,VG,14.69 - 8.37 * 4.99,59.6,67.0,1.76,IGI,713537450,https://api.igi.org/viewpdf.php?r=713537450,https://workshop.360view.link/360viewer/360view.html?d=2307257-PDKP-1362
PDKP-1359,Fancy Colour,VIVID PINK,PEAR,3.77,3.00–4.99ct,VS1,,EX,EX,13.65 - 8.35 * 4.94,59.2,58.0,1.63,IGI,726503969,https://api.igi.org/viewpdf.php?r=726503969,https://workshop.360view.link/360viewer/360view.html?d=1408253-PDKP-1359-
